Start Training
Train Epoch0 out_loss 1.6819452047348022, R2 -0.2599360942840576
Test Epoch0 layer0 out_loss 1.3168268203735352, R2 0.0008594393730163574
Test Epoch0 layer1 out_loss 1.3169105052947998, R2 0.0007959604263305664
Test Epoch0 layer2 out_loss 1.3186943531036377, R2 -0.0005575418472290039
Test Epoch0 layer3 out_loss 1.3185346126556396, R2 -0.0004363059997558594
Test Epoch0 layer4 out_loss 1.3210182189941406, R2 -0.0023207664489746094
Test Epoch0 layer5 out_loss 1.324886441230774, R2 -0.0052558183670043945
Test Epoch0 layer6 out_loss 1.3212733268737793, R2 -0.002514362335205078
Train Epoch1 out_loss 1.3421297073364258, R2 -0.00538325309753418
Test Epoch1 layer0 out_loss 1.3332337141036987, R2 -0.011589288711547852
Test Epoch1 layer1 out_loss 1.3411258459091187, R2 -0.017577409744262695
Test Epoch1 layer2 out_loss 1.3292248249053955, R2 -0.008547544479370117
Test Epoch1 layer3 out_loss 1.3191168308258057, R2 -0.0008780956268310547
Test Epoch1 layer4 out_loss 1.3186619281768799, R2 -0.000532984733581543
Test Epoch1 layer5 out_loss 1.3272918462753296, R2 -0.007080793380737305
Test Epoch1 layer6 out_loss 1.3185700178146362, R2 -0.00046324729919433594
Train Epoch2 out_loss 1.3354120254516602, R2 -0.0003510713577270508
Test Epoch2 layer0 out_loss 1.3168867826461792, R2 0.0008140206336975098
Test Epoch2 layer1 out_loss 1.3199282884597778, R2 -0.0014938116073608398
Test Epoch2 layer2 out_loss 1.3187531232833862, R2 -0.0006021261215209961
Test Epoch2 layer3 out_loss 1.3189858198165894, R2 -0.0007786750793457031
Test Epoch2 layer4 out_loss 1.3195817470550537, R2 -0.0012308359146118164
Test Epoch2 layer5 out_loss 1.3295527696609497, R2 -0.008796334266662598
Test Epoch2 layer6 out_loss 1.3201756477355957, R2 -0.0016814470291137695
Train Epoch3 out_loss 1.3396226167678833, R2 -0.0035037994384765625
Test Epoch3 layer0 out_loss 1.31725013256073, R2 0.0005382895469665527
Test Epoch3 layer1 out_loss 1.3201593160629272, R2 -0.0016690492630004883
Test Epoch3 layer2 out_loss 1.3334896564483643, R2 -0.011783480644226074
Test Epoch3 layer3 out_loss 1.350622534751892, R2 -0.024782896041870117
Test Epoch3 layer4 out_loss 1.3369414806365967, R2 -0.014402508735656738
Test Epoch3 layer5 out_loss 1.3251475095748901, R2 -0.005453824996948242
Test Epoch3 layer6 out_loss 1.3269115686416626, R2 -0.006792306900024414
Train Epoch4 out_loss 1.3370332717895508, R2 -0.0015647411346435547
Test Epoch4 layer0 out_loss 1.318643569946289, R2 -0.0005190372467041016
Test Epoch4 layer1 out_loss 1.317527413368225, R2 0.0003279447555541992
Test Epoch4 layer2 out_loss 1.3241184949874878, R2 -0.004673004150390625
Test Epoch4 layer3 out_loss 1.3356263637542725, R2 -0.0134047269821167
Test Epoch4 layer4 out_loss 1.3282057046890259, R2 -0.007774233818054199
Test Epoch4 layer5 out_loss 1.3364967107772827, R2 -0.014065027236938477
Test Epoch4 layer6 out_loss 1.330512285232544, R2 -0.009524345397949219
Train Epoch5 out_loss 1.3366714715957642, R2 -0.0012944936752319336
Test Epoch5 layer0 out_loss 1.3099136352539062, R2 0.006104886531829834
Test Epoch5 layer1 out_loss 1.3178032636642456, R2 0.00011855363845825195
Test Epoch5 layer2 out_loss 1.3248435258865356, R2 -0.0052231550216674805
Test Epoch5 layer3 out_loss 1.3260550498962402, R2 -0.006142377853393555
Test Epoch5 layer4 out_loss 1.3213367462158203, R2 -0.002562403678894043
Test Epoch5 layer5 out_loss 1.331971287727356, R2 -0.010631322860717773
Test Epoch5 layer6 out_loss 1.323240876197815, R2 -0.004007220268249512
Train Epoch6 out_loss 1.3366937637329102, R2 -0.001310110092163086
Test Epoch6 layer0 out_loss 1.3064602613449097, R2 0.008725106716156006
Test Epoch6 layer1 out_loss 1.305627465248108, R2 0.009356915950775146
Test Epoch6 layer2 out_loss 1.3120009899139404, R2 0.004521071910858154
Test Epoch6 layer3 out_loss 1.317267656326294, R2 0.000525057315826416
Test Epoch6 layer4 out_loss 1.317535161972046, R2 0.00032204389572143555
Test Epoch6 layer5 out_loss 1.3172975778579712, R2 0.0005023479461669922
Test Epoch6 layer6 out_loss 1.3165862560272217, R2 0.001042008399963379
Train Epoch7 out_loss 1.3277249336242676, R2 0.005408763885498047
Test Epoch7 layer0 out_loss 1.34462571144104, R2 -0.0202329158782959
Test Epoch7 layer1 out_loss 1.3044967651367188, R2 0.01021486520767212
Test Epoch7 layer2 out_loss 1.3245471715927124, R2 -0.004998326301574707
Test Epoch7 layer3 out_loss 1.2969813346862793, R2 0.015917181968688965
Test Epoch7 layer4 out_loss 1.3356391191482544, R2 -0.013414263725280762
Test Epoch7 layer5 out_loss 1.3034610748291016, R2 0.01100069284439087
Test Epoch7 layer6 out_loss 1.296378254890442, R2 0.016374826431274414
Train Epoch8 out_loss 1.3200141191482544, R2 0.011184930801391602
Test Epoch8 layer0 out_loss 1.2645045518875122, R2 0.04055887460708618
Test Epoch8 layer1 out_loss 1.2765244245529175, R2 0.03143888711929321
Test Epoch8 layer2 out_loss 1.2890604734420776, R2 0.0219271183013916
Test Epoch8 layer3 out_loss 1.298989176750183, R2 0.014393746852874756
Test Epoch8 layer4 out_loss 1.3033816814422607, R2 0.011061012744903564
Test Epoch8 layer5 out_loss 1.260898470878601, R2 0.04329502582550049
Test Epoch8 layer6 out_loss 1.2667720317840576, R2 0.03883850574493408
Train Epoch9 out_loss 1.2699135541915894, R2 0.04871392250061035
Test Epoch9 layer0 out_loss 1.0865262746810913, R2 0.17559963464736938
Test Epoch9 layer1 out_loss 1.1027095317840576, R2 0.1633206605911255
Test Epoch9 layer2 out_loss 1.0977091789245605, R2 0.1671147346496582
Test Epoch9 layer3 out_loss 1.1196012496948242, R2 0.15050411224365234
Test Epoch9 layer4 out_loss 1.1242438554763794, R2 0.1469815969467163
Test Epoch9 layer5 out_loss 1.119518756866455, R2 0.1505666971206665
Test Epoch9 layer6 out_loss 1.1413687467575073, R2 0.13398802280426025
Train Epoch10 out_loss 1.0185891389846802, R2 0.23698067665100098
Test Epoch10 layer0 out_loss 0.8054808974266052, R2 0.38884246349334717
Test Epoch10 layer1 out_loss 0.7948188185691833, R2 0.39693236351013184
Test Epoch10 layer2 out_loss 0.8280208110809326, R2 0.3717404007911682
Test Epoch10 layer3 out_loss 0.8360424041748047, R2 0.36565399169921875
Test Epoch10 layer4 out_loss 0.8400368094444275, R2 0.36262327432632446
Test Epoch10 layer5 out_loss 0.830498993396759, R2 0.36986005306243896
Test Epoch10 layer6 out_loss 0.8416830897331238, R2 0.3613741397857666
Train Epoch11 out_loss 0.8506743907928467, R2 0.3627637028694153
Test Epoch11 layer0 out_loss 0.7769179344177246, R2 0.41051459312438965
Test Epoch11 layer1 out_loss 0.8180696964263916, R2 0.37929075956344604
Test Epoch11 layer2 out_loss 0.8154083490371704, R2 0.38131004571914673
Test Epoch11 layer3 out_loss 0.8297963738441467, R2 0.37039315700531006
Test Epoch11 layer4 out_loss 0.8279423117637634, R2 0.37179994583129883
Test Epoch11 layer5 out_loss 0.8907368779182434, R2 0.3241546154022217
Test Epoch11 layer6 out_loss 0.8654202222824097, R2 0.3433636426925659
Train Epoch12 out_loss 0.7507681846618652, R2 0.4376031756401062
Test Epoch12 layer0 out_loss 0.674150288105011, R2 0.48848938941955566
Test Epoch12 layer1 out_loss 0.7016367316246033, R2 0.46763408184051514
Test Epoch12 layer2 out_loss 0.7305936217308044, R2 0.44566309452056885
Test Epoch12 layer3 out_loss 0.7537532448768616, R2 0.42809075117111206
Test Epoch12 layer4 out_loss 0.8013550639152527, R2 0.39197295904159546
Test Epoch12 layer5 out_loss 0.8518348932266235, R2 0.35367143154144287
Test Epoch12 layer6 out_loss 0.8363444209098816, R2 0.36542487144470215
Train Epoch13 out_loss 0.6771900057792664, R2 0.4927200675010681
Test Epoch13 layer0 out_loss 0.5989084243774414, R2 0.5455790758132935
Test Epoch13 layer1 out_loss 0.5841391682624817, R2 0.5567852258682251
Test Epoch13 layer2 out_loss 0.5872432589530945, R2 0.5544300079345703
Test Epoch13 layer3 out_loss 0.5835190415382385, R2 0.557255744934082
Test Epoch13 layer4 out_loss 0.5855227112770081, R2 0.5557354688644409
Test Epoch13 layer5 out_loss 0.5852843523025513, R2 0.5559163093566895
Test Epoch13 layer6 out_loss 0.5919036865234375, R2 0.5508939027786255
Train Epoch14 out_loss 0.6273784041404724, R2 0.5300343632698059
Test Epoch14 layer0 out_loss 0.77055424451828, R2 0.4153430461883545
Test Epoch14 layer1 out_loss 0.7669036388397217, R2 0.41811293363571167
Test Epoch14 layer2 out_loss 0.7713255286216736, R2 0.4147578477859497
Test Epoch14 layer3 out_loss 0.7707144618034363, R2 0.4152214527130127
Test Epoch14 layer4 out_loss 0.7672832012176514, R2 0.417824923992157
Test Epoch14 layer5 out_loss 0.7673591375350952, R2 0.41776734590530396
Test Epoch14 layer6 out_loss 0.7719854116439819, R2 0.41425710916519165
Train Epoch15 out_loss 0.6199171543121338, R2 0.5356234312057495
Test Epoch15 layer0 out_loss 0.614166259765625, R2 0.5340021848678589
Test Epoch15 layer1 out_loss 0.6227449774742126, R2 0.5274931192398071
Test Epoch15 layer2 out_loss 0.630251407623291, R2 0.5217976570129395
Test Epoch15 layer3 out_loss 0.6355485320091248, R2 0.5177783966064453
Test Epoch15 layer4 out_loss 0.6448405981063843, R2 0.5107280611991882
Test Epoch15 layer5 out_loss 0.6492274403572083, R2 0.5073995590209961
Test Epoch15 layer6 out_loss 0.6520357728004456, R2 0.5052687525749207
Train Epoch16 out_loss 0.6150798797607422, R2 0.5392464399337769
Test Epoch16 layer0 out_loss 0.6499746441841125, R2 0.5068326592445374
Test Epoch16 layer1 out_loss 0.6696704030036926, R2 0.49188852310180664
Test Epoch16 layer2 out_loss 0.6560670733451843, R2 0.5022100210189819
Test Epoch16 layer3 out_loss 0.6427804827690125, R2 0.5122911930084229
Test Epoch16 layer4 out_loss 0.6763170957565308, R2 0.48684537410736084
Test Epoch16 layer5 out_loss 0.6694881916046143, R2 0.49202674627304077
Test Epoch16 layer6 out_loss 0.7104818820953369, R2 0.46092289686203003
Train Epoch17 out_loss 0.6257221102714539, R2 0.5312744379043579
Test Epoch17 layer0 out_loss 0.599426805973053, R2 0.5451857447624207
Test Epoch17 layer1 out_loss 0.5906405448913574, R2 0.5518523454666138
Test Epoch17 layer2 out_loss 0.6024688482284546, R2 0.5428775548934937
Test Epoch17 layer3 out_loss 0.605969250202179, R2 0.5402216911315918
Test Epoch17 layer4 out_loss 0.6089868545532227, R2 0.5379320383071899
Test Epoch17 layer5 out_loss 0.6372547149658203, R2 0.5164839029312134
Test Epoch17 layer6 out_loss 0.6224538683891296, R2 0.5277140140533447
Train Epoch18 out_loss 0.5935409069061279, R2 0.5553816556930542
Test Epoch18 layer0 out_loss 0.5538817048072815, R2 0.5797430276870728
Test Epoch18 layer1 out_loss 0.5605923533439636, R2 0.5746513605117798
Test Epoch18 layer2 out_loss 0.5602540373802185, R2 0.5749080181121826
Test Epoch18 layer3 out_loss 0.5689375400543213, R2 0.5683194398880005
Test Epoch18 layer4 out_loss 0.5684753060340881, R2 0.5686701536178589
Test Epoch18 layer5 out_loss 0.5725312829017639, R2 0.5655926465988159
Test Epoch18 layer6 out_loss 0.5834112763404846, R2 0.5573375225067139
Train Epoch19 out_loss 0.5988711714744568, R2 0.5513885021209717
Test Epoch19 layer0 out_loss 0.6968055963516235, R2 0.4712997078895569
Test Epoch19 layer1 out_loss 0.6881244778633118, R2 0.47788649797439575
Test Epoch19 layer2 out_loss 0.7250682711601257, R2 0.4498554468154907
Test Epoch19 layer3 out_loss 0.6913760900497437, R2 0.4754193425178528
Test Epoch19 layer4 out_loss 0.6355203986167908, R2 0.5177997350692749
Test Epoch19 layer5 out_loss 0.7297130227088928, R2 0.446331262588501
Test Epoch19 layer6 out_loss 0.8345809578895569, R2 0.3667628765106201
Train Epoch20 out_loss 0.6070161461830139, R2 0.545287013053894
Test Epoch20 layer0 out_loss 0.5883036851882935, R2 0.5536254048347473
Test Epoch20 layer1 out_loss 0.6119610667228699, R2 0.5356754064559937
Test Epoch20 layer2 out_loss 0.6166553497314453, R2 0.5321136116981506
Test Epoch20 layer3 out_loss 0.6315365433692932, R2 0.5208225250244141
Test Epoch20 layer4 out_loss 0.6470912098884583, R2 0.5090204477310181
Test Epoch20 layer5 out_loss 0.6329323649406433, R2 0.5197634696960449
Test Epoch20 layer6 out_loss 0.6378516554832458, R2 0.5160309672355652
Train Epoch21 out_loss 0.5735665559768677, R2 0.5703445076942444
Test Epoch21 layer0 out_loss 0.7264308929443359, R2 0.4488215446472168
Test Epoch21 layer1 out_loss 0.7315748929977417, R2 0.44491857290267944
Test Epoch21 layer2 out_loss 0.698981523513794, R2 0.46964871883392334
Test Epoch21 layer3 out_loss 0.677946925163269, R2 0.48560869693756104
Test Epoch21 layer4 out_loss 0.6867488026618958, R2 0.4789302945137024
Test Epoch21 layer5 out_loss 0.7782742977142334, R2 0.40948545932769775
Test Epoch21 layer6 out_loss 0.7330557703971863, R2 0.44379496574401855
Train Epoch22 out_loss 0.5825167894363403, R2 0.5636393427848816
Test Epoch22 layer0 out_loss 0.5668162703514099, R2 0.5699288845062256
Test Epoch22 layer1 out_loss 0.5684575438499451, R2 0.5686836242675781
Test Epoch22 layer2 out_loss 0.5721063613891602, R2 0.5659151077270508
Test Epoch22 layer3 out_loss 0.5667937397956848, R2 0.5699460506439209
Test Epoch22 layer4 out_loss 0.571270763874054, R2 0.5665490627288818
Test Epoch22 layer5 out_loss 0.5718446969985962, R2 0.5661135911941528
Test Epoch22 layer6 out_loss 0.5956929326057434, R2 0.5480188131332397
Train Epoch23 out_loss 0.5562026500701904, R2 0.5833511352539062
Test Epoch23 layer0 out_loss 0.5704668760299683, R2 0.5671590566635132
Test Epoch23 layer1 out_loss 0.5684518814086914, R2 0.568687915802002
Test Epoch23 layer2 out_loss 0.5672637224197388, R2 0.5695894956588745
