Start Training
Train Epoch0 out_loss 0.507885217666626, R2 0.4908366799354553
Test Epoch0 layer0 out_loss 0.32734668254852295, R2 0.6757985949516296
Test Epoch0 layer1 out_loss 0.30917590856552124, R2 0.6937947273254395
Test Epoch0 layer2 out_loss 0.3049768805503845, R2 0.697953462600708
Test Epoch0 layer3 out_loss 0.3135768175125122, R2 0.6894361972808838
Test Epoch0 layer4 out_loss 0.33407062292099, R2 0.6691392660140991
Test Epoch0 layer5 out_loss 0.35040855407714844, R2 0.6529582738876343
Test Epoch0 layer6 out_loss 0.36020851135253906, R2 0.6432524919509888
Test Epoch0 layer7 out_loss 0.3634946346282959, R2 0.6399979591369629
Train Epoch1 out_loss 0.32682138681411743, R2 0.672356128692627
Test Epoch1 layer0 out_loss 0.30743271112442017, R2 0.6955212354660034
Test Epoch1 layer1 out_loss 0.2906057834625244, R2 0.7121864557266235
Test Epoch1 layer2 out_loss 0.29915836453437805, R2 0.7037160396575928
Test Epoch1 layer3 out_loss 0.30816781520843506, R2 0.6947932243347168
Test Epoch1 layer4 out_loss 0.3111267685890198, R2 0.6918627023696899
Test Epoch1 layer5 out_loss 0.3142412006855011, R2 0.6887781620025635
Test Epoch1 layer6 out_loss 0.3140013515949249, R2 0.6890156865119934
Test Epoch1 layer7 out_loss 0.31100788712501526, R2 0.6919803619384766
Train Epoch2 out_loss 0.3301846981048584, R2 0.6689844131469727
Test Epoch2 layer0 out_loss 0.29954925179481506, R2 0.7033289670944214
Test Epoch2 layer1 out_loss 0.2768309712409973, R2 0.7258288860321045
Test Epoch2 layer2 out_loss 0.2782924473285675, R2 0.7243815064430237
Test Epoch2 layer3 out_loss 0.281748503446579, R2 0.7209586501121521
Test Epoch2 layer4 out_loss 0.28491657972335815, R2 0.7178210020065308
Test Epoch2 layer5 out_loss 0.29015815258026123, R2 0.7126297950744629
Test Epoch2 layer6 out_loss 0.28905072808265686, R2 0.7137265801429749
Test Epoch2 layer7 out_loss 0.2896862030029297, R2 0.7130972146987915
Train Epoch3 out_loss 0.30936065316200256, R2 0.6898608207702637
Test Epoch3 layer0 out_loss 0.2971629798412323, R2 0.7056922912597656
Test Epoch3 layer1 out_loss 0.2723863124847412, R2 0.7302309274673462
Test Epoch3 layer2 out_loss 0.2700655460357666, R2 0.7325294017791748
Test Epoch3 layer3 out_loss 0.27062880992889404, R2 0.7319715023040771
Test Epoch3 layer4 out_loss 0.2735503017902374, R2 0.7290780544281006
Test Epoch3 layer5 out_loss 0.2788664400577545, R2 0.7238130569458008
Test Epoch3 layer6 out_loss 0.2823549807071686, R2 0.7203580141067505
Test Epoch3 layer7 out_loss 0.287324994802475, R2 0.7154357433319092
Train Epoch4 out_loss 0.28806522488594055, R2 0.7112098932266235
Test Epoch4 layer0 out_loss 0.30690446496009827, R2 0.6960444450378418
Test Epoch4 layer1 out_loss 0.294044554233551, R2 0.7087807655334473
Test Epoch4 layer2 out_loss 0.29636985063552856, R2 0.7064777612686157
Test Epoch4 layer3 out_loss 0.29861360788345337, R2 0.7042555809020996
Test Epoch4 layer4 out_loss 0.3077140748500824, R2 0.6952425837516785
Test Epoch4 layer5 out_loss 0.3054770529270172, R2 0.6974580883979797
Test Epoch4 layer6 out_loss 0.29654693603515625, R2 0.7063024044036865
Test Epoch4 layer7 out_loss 0.2911657989025116, R2 0.7116318941116333
Train Epoch5 out_loss 0.296166330575943, R2 0.7030884027481079
Test Epoch5 layer0 out_loss 0.2886713445186615, R2 0.7141023874282837
Test Epoch5 layer1 out_loss 0.2617911398410797, R2 0.7407242655754089
Test Epoch5 layer2 out_loss 0.2668997645378113, R2 0.7356647253036499
Test Epoch5 layer3 out_loss 0.2783134877681732, R2 0.7243607044219971
Test Epoch5 layer4 out_loss 0.290051132440567, R2 0.7127357721328735
Test Epoch5 layer5 out_loss 0.3035348057746887, R2 0.6993817090988159
Test Epoch5 layer6 out_loss 0.3030824661254883, R2 0.6998296976089478
Test Epoch5 layer7 out_loss 0.3066529333591461, R2 0.6962935328483582
Train Epoch6 out_loss 0.28398314118385315, R2 0.7153022289276123
Test Epoch6 layer0 out_loss 0.28403744101524353, R2 0.7186917066574097
Test Epoch6 layer1 out_loss 0.2623501121997833, R2 0.7401705980300903
Test Epoch6 layer2 out_loss 0.2586243748664856, R2 0.7438606023788452
Test Epoch6 layer3 out_loss 0.26019287109375, R2 0.742307186126709
