Start Training
Train Epoch0 out_loss 1.5816072225570679, R2 -0.180871844291687
Test Epoch0 layer0 out_loss 1.2988899946212769, R2 0.0006578564643859863
Test Epoch0 layer1 out_loss 1.2984915971755981, R2 0.0009644031524658203
Test Epoch0 layer2 out_loss 1.2985844612121582, R2 0.000892937183380127
Test Epoch0 layer3 out_loss 1.3009203672409058, R2 -0.0009042024612426758
Test Epoch0 layer4 out_loss 1.30698561668396, R2 -0.005570769309997559
Test Epoch0 layer5 out_loss 1.3019959926605225, R2 -0.00173187255859375
Train Epoch1 out_loss 1.3582472801208496, R2 -0.014104485511779785
Test Epoch1 layer0 out_loss 1.3118767738342285, R2 -0.00933384895324707
Test Epoch1 layer1 out_loss 1.296772837638855, R2 0.0022867918014526367
Test Epoch1 layer2 out_loss 1.298545241355896, R2 0.00092315673828125
Test Epoch1 layer3 out_loss 1.3294932842254639, R2 -0.022887706756591797
Test Epoch1 layer4 out_loss 1.3843317031860352, R2 -0.0650794506072998
Test Epoch1 layer5 out_loss 1.3057529926300049, R2 -0.004622340202331543
Train Epoch2 out_loss 1.3395613431930542, R2 -0.00015294551849365234
Test Epoch2 layer0 out_loss 1.262812614440918, R2 0.028415143489837646
Test Epoch2 layer1 out_loss 1.264372706413269, R2 0.02721482515335083
Test Epoch2 layer2 out_loss 1.2657852172851562, R2 0.026128113269805908
Test Epoch2 layer3 out_loss 1.2834248542785645, R2 0.01255643367767334
Test Epoch2 layer4 out_loss 1.2895094156265259, R2 0.007875144481658936
Test Epoch2 layer5 out_loss 1.2750070095062256, R2 0.01903301477432251
Train Epoch3 out_loss 1.1997874975204468, R2 0.10420596599578857
Test Epoch3 layer0 out_loss 0.9195091724395752, R2 0.29254651069641113
Test Epoch3 layer1 out_loss 0.8904179334640503, R2 0.3149287700653076
Test Epoch3 layer2 out_loss 0.892271876335144, R2 0.31350237131118774
Test Epoch3 layer3 out_loss 0.9054405689239502, R2 0.3033706545829773
Test Epoch3 layer4 out_loss 0.9029872417449951, R2 0.30525821447372437
Test Epoch3 layer5 out_loss 0.8762078881263733, R2 0.32586175203323364
Train Epoch4 out_loss 0.9147047400474548, R2 0.3170565366744995
Test Epoch4 layer0 out_loss 0.8110908269882202, R2 0.3759616017341614
Test Epoch4 layer1 out_loss 0.8065193891525269, R2 0.3794788122177124
Test Epoch4 layer2 out_loss 0.809799075126648, R2 0.37695544958114624
Test Epoch4 layer3 out_loss 0.8162769675254822, R2 0.3719714879989624
Test Epoch4 layer4 out_loss 0.8216176629066467, R2 0.3678624629974365
Test Epoch4 layer5 out_loss 0.8229449987411499, R2 0.366841197013855
Train Epoch5 out_loss 0.8695989847183228, R2 0.3507339358329773
Test Epoch5 layer0 out_loss 0.8415277600288391, R2 0.3525439500808716
Test Epoch5 layer1 out_loss 0.8353638648986816, R2 0.35728639364242554
Test Epoch5 layer2 out_loss 0.8333521485328674, R2 0.3588341474533081
Test Epoch5 layer3 out_loss 0.8408635854721069, R2 0.3530550003051758
Test Epoch5 layer4 out_loss 0.8292765617370605, R2 0.36196982860565186
Test Epoch5 layer5 out_loss 0.8640075922012329, R2 0.3352484107017517
Train Epoch6 out_loss 0.8219937682151794, R2 0.3862772583961487
Test Epoch6 layer0 out_loss 0.762298047542572, R2 0.4135018587112427
Test Epoch6 layer1 out_loss 0.7611497640609741, R2 0.4143853783607483
Test Epoch6 layer2 out_loss 0.7680547833442688, R2 0.40907275676727295
Test Epoch6 layer3 out_loss 0.7807265520095825, R2 0.39932334423065186
Test Epoch6 layer4 out_loss 0.7807519435882568, R2 0.3993037939071655
Test Epoch6 layer5 out_loss 0.7779919505119324, R2 0.4014272689819336
Train Epoch7 out_loss 0.787273108959198, R2 0.4122004508972168
Test Epoch7 layer0 out_loss 0.768703818321228, R2 0.4085733890533447
Test Epoch7 layer1 out_loss 0.7609332799911499, R2 0.41455191373825073
Test Epoch7 layer2 out_loss 0.7452028393745422, R2 0.4266546368598938
Test Epoch7 layer3 out_loss 0.7440757751464844, R2 0.4275217056274414
Test Epoch7 layer4 out_loss 0.7574734091758728, R2 0.4172138571739197
Test Epoch7 layer5 out_loss 0.7607283592224121, R2 0.41470956802368164
Train Epoch8 out_loss 0.766701340675354, R2 0.42756009101867676
Test Epoch8 layer0 out_loss 0.7299817204475403, R2 0.43836545944213867
Test Epoch8 layer1 out_loss 0.7245999574661255, R2 0.4425060749053955
Test Epoch8 layer2 out_loss 0.7264546155929565, R2 0.44107913970947266
Test Epoch8 layer3 out_loss 0.7405908703804016, R2 0.4302029609680176
Test Epoch8 layer4 out_loss 0.749462902545929, R2 0.42337697744369507
Test Epoch8 layer5 out_loss 0.7548041939735413, R2 0.419267475605011
Train Epoch9 out_loss 0.7692134976387024, R2 0.42568427324295044
Test Epoch9 layer0 out_loss 0.7414476275444031, R2 0.42954379320144653
Test Epoch9 layer1 out_loss 0.7139465808868408, R2 0.45070260763168335
Test Epoch9 layer2 out_loss 0.69868403673172, R2 0.46244531869888306
Test Epoch9 layer3 out_loss 0.698885977268219, R2 0.4622899889945984
Test Epoch9 layer4 out_loss 0.7050228714942932, R2 0.45756834745407104
Test Epoch9 layer5 out_loss 0.7002092003822327, R2 0.46127188205718994
Train Epoch10 out_loss 0.7350975871086121, R2 0.4511560797691345
Test Epoch10 layer0 out_loss 0.7893027067184448, R2 0.39272499084472656
Test Epoch10 layer1 out_loss 0.7564881443977356, R2 0.4179719090461731
Test Epoch10 layer2 out_loss 0.749667227268219, R2 0.42321979999542236
Test Epoch10 layer3 out_loss 0.7714448571205139, R2 0.40646445751190186
Test Epoch10 layer4 out_loss 0.756163477897644, R2 0.41822171211242676
Test Epoch10 layer5 out_loss 0.7655475735664368, R2 0.4110017418861389
Train Epoch11 out_loss 0.7132139205932617, R2 0.4674950838088989
Test Epoch11 layer0 out_loss 0.7981511950492859, R2 0.38591712713241577
Test Epoch11 layer1 out_loss 0.7779029011726379, R2 0.4014958143234253
Test Epoch11 layer2 out_loss 0.7659664154052734, R2 0.4106794595718384
Test Epoch11 layer3 out_loss 0.7883343696594238, R2 0.39346998929977417
Test Epoch11 layer4 out_loss 0.7681241631507874, R2 0.4090193510055542
Test Epoch11 layer5 out_loss 0.768185019493103, R2 0.40897250175476074
Train Epoch12 out_loss 0.6985415816307068, R2 0.47844982147216797
Test Epoch12 layer0 out_loss 0.6691715121269226, R2 0.4851517081260681
Test Epoch12 layer1 out_loss 0.662168025970459, R2 0.490540087223053
Test Epoch12 layer2 out_loss 0.6488999724388123, R2 0.5007482767105103
Test Epoch12 layer3 out_loss 0.6472643613815308, R2 0.5020066499710083
Test Epoch12 layer4 out_loss 0.6569496393203735, R2 0.4945549964904785
Test Epoch12 layer5 out_loss 0.652711033821106, R2 0.49781614542007446
Train Epoch13 out_loss 0.6698662042617798, R2 0.49985963106155396
Test Epoch13 layer0 out_loss 0.6502382159233093, R2 0.49971866607666016
Test Epoch13 layer1 out_loss 0.6338289380073547, R2 0.5123436450958252
Test Epoch13 layer2 out_loss 0.6154612302780151, R2 0.5264754295349121
Test Epoch13 layer3 out_loss 0.6318034529685974, R2 0.5139020085334778
Test Epoch13 layer4 out_loss 0.6317178010940552, R2 0.5139678716659546
