Start Training
Train Epoch0 out_loss 0.393831342458725, R2 0.6074494123458862
Test Epoch0 layer0 out_loss 0.3168944716453552, R2 0.6789134740829468
Test Epoch0 layer1 out_loss 0.30278611183166504, R2 0.6932084560394287
Train Epoch1 out_loss 0.30385780334472656, R2 0.6971303820610046
Test Epoch1 layer0 out_loss 0.3037921190261841, R2 0.6921892166137695
Test Epoch1 layer1 out_loss 0.29235950112342834, R2 0.703773021697998
Train Epoch2 out_loss 0.2865819036960602, R2 0.7143501043319702
Test Epoch2 layer0 out_loss 0.29981210827827454, R2 0.6962218284606934
Test Epoch2 layer1 out_loss 0.2749997079372406, R2 0.7213624715805054
Train Epoch3 out_loss 0.2784998118877411, R2 0.7224059104919434
Test Epoch3 layer0 out_loss 0.29206228256225586, R2 0.7040741443634033
Test Epoch3 layer1 out_loss 0.2660059630870819, R2 0.7304751873016357
Train Epoch4 out_loss 0.2710599899291992, R2 0.7298215627670288
Test Epoch4 layer0 out_loss 0.2901275157928467, R2 0.7060345411300659
Test Epoch4 layer1 out_loss 0.26813414692878723, R2 0.7283188104629517
Train Epoch5 out_loss 0.2673622667789459, R2 0.7335072159767151
Test Epoch5 layer0 out_loss 0.27934202551841736, R2 0.7169626951217651
Test Epoch5 layer1 out_loss 0.2545262575149536, R2 0.7421067357063293
Train Epoch6 out_loss 0.2646839916706085, R2 0.7361768484115601
Test Epoch6 layer0 out_loss 0.27903884649276733, R2 0.7172698974609375
Test Epoch6 layer1 out_loss 0.25490087270736694, R2 0.7417271733283997
Train Epoch7 out_loss 0.2599376142024994, R2 0.7409077882766724
Test Epoch7 layer0 out_loss 0.27441567182540894, R2 0.7219542264938354
Test Epoch7 layer1 out_loss 0.24933934211730957, R2 0.7473622560501099
Train Epoch8 out_loss 0.25789085030555725, R2 0.7429478168487549
Test Epoch8 layer0 out_loss 0.27529996633529663, R2 0.7210582494735718
Test Epoch8 layer1 out_loss 0.2509954273700714, R2 0.7456842660903931
Train Epoch9 out_loss 0.25352564454078674, R2 0.7472988367080688
Test Epoch9 layer0 out_loss 0.27608722448349, R2 0.720260500907898
Test Epoch9 layer1 out_loss 0.2544335722923279, R2 0.7422006726264954
Train Epoch10 out_loss 0.24999269843101501, R2 0.7508203387260437
Test Epoch10 layer0 out_loss 0.27011269330978394, R2 0.726314127445221
Test Epoch10 layer1 out_loss 0.24258828163146973, R2 0.754202663898468
Train Epoch11 out_loss 0.24717268347740173, R2 0.7536311745643616
Test Epoch11 layer0 out_loss 0.27955883741378784, R2 0.716742992401123
Test Epoch11 layer1 out_loss 0.24926261603832245, R2 0.747439980506897
Train Epoch12 out_loss 0.2446703016757965, R2 0.7561253905296326
Test Epoch12 layer0 out_loss 0.2679659128189087, R2 0.7284892797470093
Test Epoch12 layer1 out_loss 0.2425825446844101, R2 0.7542084455490112
Train Epoch13 out_loss 0.24057888984680176, R2 0.76020348072052
Test Epoch13 layer0 out_loss 0.26391980051994324, R2 0.7325889468193054
Test Epoch13 layer1 out_loss 0.23584984242916107, R2 0.7610301971435547
Train Epoch14 out_loss 0.23840534687042236, R2 0.7623699903488159
Test Epoch14 layer0 out_loss 0.26135194301605225, R2 0.735190749168396
Test Epoch14 layer1 out_loss 0.23987285792827606, R2 0.7569540143013
Train Epoch15 out_loss 0.23594841361045837, R2 0.7648189067840576
Test Epoch15 layer0 out_loss 0.2593177855014801, R2 0.7372518181800842
Test Epoch15 layer1 out_loss 0.2340681105852127, R2 0.7628355026245117
Train Epoch16 out_loss 0.23325355350971222, R2 0.7675050497055054
Test Epoch16 layer0 out_loss 0.25905269384384155, R2 0.7375204563140869
Test Epoch16 layer1 out_loss 0.22815591096878052, R2 0.7688259482383728
Train Epoch17 out_loss 0.2303447425365448, R2 0.7704043388366699
Test Epoch17 layer0 out_loss 0.2656475305557251, R2 0.7308383584022522
Test Epoch17 layer1 out_loss 0.2330540418624878, R2 0.7638630270957947
Train Epoch18 out_loss 0.22828055918216705, R2 0.7724618315696716
Test Epoch18 layer0 out_loss 0.2581242024898529, R2 0.7384611964225769
Test Epoch18 layer1 out_loss 0.22781060636043549, R2 0.7691758275032043
Train Epoch19 out_loss 0.22543354332447052, R2 0.775299608707428
Test Epoch19 layer0 out_loss 0.25498834252357483, R2 0.7416385412216187
Test Epoch19 layer1 out_loss 0.22397048771381378, R2 0.7730666995048523
Train Epoch20 out_loss 0.22346772253513336, R2 0.7772590517997742
Test Epoch20 layer0 out_loss 0.2636204957962036, R2 0.7328921556472778
Test Epoch20 layer1 out_loss 0.2275305688381195, R2 0.7694595456123352
Train Epoch21 out_loss 0.22322015464305878, R2 0.7775057554244995
Test Epoch21 layer0 out_loss 0.253216415643692, R2 0.743433952331543
Test Epoch21 layer1 out_loss 0.2206364870071411, R2 0.7764447927474976
Train Epoch22 out_loss 0.22117505967617035, R2 0.7795442342758179
Test Epoch22 layer0 out_loss 0.25272464752197266, R2 0.7439321875572205
Test Epoch22 layer1 out_loss 0.22173509001731873, R2 0.7753316760063171
Train Epoch23 out_loss 0.21810847520828247, R2 0.7826008200645447
Test Epoch23 layer0 out_loss 0.2545311152935028, R2 0.742101788520813
Test Epoch23 layer1 out_loss 0.22743700444698334, R2 0.7695543766021729
Train Epoch24 out_loss 0.21850229799747467, R2 0.7822083234786987
Test Epoch24 layer0 out_loss 0.24800755083560944, R2 0.7487117052078247
Test Epoch24 layer1 out_loss 0.21831290423870087, R2 0.7787991762161255
Train Epoch25 out_loss 0.2167825549840927, R2 0.7839224338531494
Test Epoch25 layer0 out_loss 0.2673264741897583, R2 0.7291371822357178
Test Epoch25 layer1 out_loss 0.23518110811710358, R2 0.7617077827453613
Train Epoch26 out_loss 0.21683339774608612, R2 0.7838717699050903
Test Epoch26 layer0 out_loss 0.248744934797287, R2 0.7479645013809204
Test Epoch26 layer1 out_loss 0.21789772808551788, R2 0.7792198061943054
Train Epoch27 out_loss 0.21550579369068146, R2 0.7851950526237488
Test Epoch27 layer0 out_loss 0.2491929978132248, R2 0.747510552406311
Test Epoch27 layer1 out_loss 0.21687138080596924, R2 0.7802597284317017
Train Epoch28 out_loss 0.21447445452213287, R2 0.7862230539321899
Test Epoch28 layer0 out_loss 0.24455143511295319, R2 0.7522135376930237
Test Epoch28 layer1 out_loss 0.2165643870830536, R2 0.7805708050727844
Train Epoch29 out_loss 0.21268537640571594, R2 0.7880063056945801
Test Epoch29 layer0 out_loss 0.24502785503864288, R2 0.7517307996749878
