Start Training
Train Epoch0 out_loss 0.4366201162338257, R2 0.5637547373771667
Test Epoch0 layer0 out_loss 0.3609984517097473, R2 0.6377557516098022
Test Epoch0 layer1 out_loss 0.2996325194835663, R2 0.6993334889411926
Test Epoch0 layer2 out_loss 0.30723103880882263, R2 0.6917087435722351
Test Epoch0 layer3 out_loss 0.30938050150871277, R2 0.689551830291748
Test Epoch0 layer4 out_loss 0.31474149227142334, R2 0.6841723918914795
Train Epoch1 out_loss 0.3080003559589386, R2 0.6922640204429626
Test Epoch1 layer0 out_loss 0.3299846649169922, R2 0.668876588344574
Test Epoch1 layer1 out_loss 0.2710212469100952, R2 0.7280434370040894
Test Epoch1 layer2 out_loss 0.27562904357910156, R2 0.7234197854995728
Test Epoch1 layer3 out_loss 0.28243154287338257, R2 0.7165938019752502
Test Epoch1 layer4 out_loss 0.2987598776817322, R2 0.7002091407775879
Train Epoch2 out_loss 0.29808834195137024, R2 0.7021675705909729
Test Epoch2 layer0 out_loss 0.32230502367019653, R2 0.6765827536582947
Test Epoch2 layer1 out_loss 0.26464706659317017, R2 0.7344396114349365
Test Epoch2 layer2 out_loss 0.2677350342273712, R2 0.7313410043716431
Test Epoch2 layer3 out_loss 0.2700577974319458, R2 0.7290102243423462
Test Epoch2 layer4 out_loss 0.27704063057899475, R2 0.7220033407211304
Train Epoch3 out_loss 0.2918853461742401, R2 0.7083652019500732
Test Epoch3 layer0 out_loss 0.3119904100894928, R2 0.6869329214096069
Test Epoch3 layer1 out_loss 0.2597217857837677, R2 0.7393819093704224
Test Epoch3 layer2 out_loss 0.2614976167678833, R2 0.7375999689102173
Test Epoch3 layer3 out_loss 0.26157689094543457, R2 0.7375204563140869
Test Epoch3 layer4 out_loss 0.2682842016220093, R2 0.7307900190353394
